,step,type,next_step,answer,buttons,save_to,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,start,skip,hi,,,,,,,,
1,hi,ifanswer,name:да; exit:нет,"Привет, это бот тревала, сыграем в игру",да; нет,,,,,,
2,name,answer,choice_theme,Введите Ваше имя для рейтинговой таблицы,,users.username,,,,,
3,choice_theme,ifanswer,th1q1:История МИЭМ; th2q1:Личности МИЭМ; th3q1:МИЭМ сегодня,Выбери тему квеста,История МИЭМ; Личности МИЭМ; МИЭМ сегодня,,,,,,
4,th1q1,"fun:c_answer(s_1, th1q2, f_t, Развитие МВМИ послужило причиной создания МИЭМ, F)",th1q2,Какое значение в основании МИЭМ играл Московский вечерний машиностроительный институт?,Развитие МВМИ послужило причиной создания МИЭМ,,,finish,,,Спасибо за игру!
5,th1q2,"fun:c_answer(s_1, th1q3, f_t, Рабочие и красноармейцы)",th1q3,Кто были первые студенты МВМИ?,Магистранты; Студенты МФТИ; Рабочие и красноармейцы,,,,,,
6,th1q3,"fun:c_answer(s_1, th1q4, f_t, В банях на Шаболовке)",th1q4,Где первоначально размещался МВМИ?,В банях на Шаболовке; На Покровском бульваре; В Строгино,,,,,,
7,th1q4,"fun:c_answer(s_1, th1q5, f_t, 1962)",th1q5,Год возникновения МИЭМ?,1960; 1598; 1962; 1965,,,,,,
8,th1q5,"fun:c_answer(s_1, th1q6, f_t, Прикладная математика)",th1q6,"Какой факультет появился в МИЭМ раньше, чем в остальных вузах страны?",Прикладная математика; Прикладная информатика; Анализ данных; Вычислительная техника,,,,,,
9,th1q6,"fun:c_answer(s_1, th1q7, f_t, За разработки в области электровакуумной техники)",th1q7,За какие открытия ученые МИЭМ получили Государственную премию?,За разработки в области электровакуумной техники,,,,,,
10,th1q7,"fun:c_answer(s_1, th1q8, f_t, В разделе разработки комплекса мероприятий по защите космических аппаратов от эффектов электризации)",th1q8,В каком направлении образования МИЭМ стал головной организацией?,В разделе разработки комплекса мероприятий по защите космических аппаратов от эффектов электризации,,,,,,
11,th1q8,"fun:c_answer(s_1, th1q9, f_t, Космическая отрасль)",th1q9,Благодаря какому направлению МИЭМ был награжден Премией Правительства РФ?,Космическая отрасль,,,,,,
12,th1q9,"fun:c_answer(s_1, th1q10, f_t, Экономико-математический)",th1q10,"Какой факультет, не связанные с информационными технология, был открыт в МИЭМе в 1990-х годах?",Экономико-математический,,,,,,
13,th1q10,"fun:c_answer(s_1, continues, f_t, 2011)",continues,В каком году МИЭМ становится частью ВШЭ?,2011,,,,,,
14,th2q1,"fun:c_answer(s_2, th2q2, f_t, Преподаватель МИЭМ, F)",th2q2,Роль американскогго астронома Дэвида Данхэма в жизни МИЭМ?,Преподаватель МИЭМ,,,,,,
15,th2q2,"fun:c_answer(s_2, th2q3, f_t, Генеральный директор компании InfoWatch)",th2q3,Кем сейчас является Наталья Касперская?,Генеральный директор компании InfoWatch,,,,,,
16,th2q3,"fun:c_answer(s_2, th2q4, f_t, Основал культовую группы «ДК»)",th2q4,Чем прославился Сергей Жариков?,Основал культовую группы «ДК»,,,,,,
17,th2q4,"fun:c_answer(s_2, th2q5, f_t, Ректор МГУ приборостроения и информатики)",th2q5,Какое важное место занимал Игорь Голубятников?,Ректор МГУ приборостроения и информатики,,,,,,
18,th2q5,"fun:c_answer(s_2, th2q6, f_t, Руководитель аппарата правительства Е. Гайдара)",th2q6,Кем был Алексей Головков?,Руководитель аппарата правительства Е. Гайдара,,,,,,
19,th2q6,"fun:c_answer(s_2, th2q7, f_t, Генеральным директором Российского агентства по системам управления)",th2q7,Кем был Владимир Симонов?,Генеральным директором Российского агентства по системам управления,,,,,,
20,th2q7,"fun:c_answer(s_2, th2q8, f_t, Генеральный директор студии разработки высоконагруженных интернет-проектов ""Онтико"")",th2q8,Кем сейчас является Олег Бунин?,"Генеральный директор студии разработки высоконагруженных интернет-проектов ""Онтико""",,,,,,
21,th2q8,"fun:c_answer(s_2, th2q9, f_t, Директором Института проблем современного искусства)",th2q9,Кем сейчас является Иосиф Бакштейн?,Директором Института проблем современного искусства,,,,,,
22,th2q9,"fun:c_answer(s_2, th2q10, f_t, Директором ФСБ)",th2q10,Кем был Николай Ковалёв?,Директором ФСБ,,,,,,
23,th2q10,"fun:c_answer(s_2, continues, f_t, Директор ФСБ, Генеральным директором кинокомпании «ФИЛЬМ-ПРО»)",continues,Кем был Михаил Зильберман?,Генеральным директором кинокомпании «ФИЛЬМ-ПРО»,,,,,,
24,th3q1,"fun:c_answer(s_3, th3q2, f_t, Суперкомпьютер, F)",th3q2,Что такое cHARISMa?,Суперкомпьютер,,,,,,
25,th3q2,"fun:c_answer(s_3, th3q3, f_t, Прикладной информатики)",th3q3,Какой департамент лишний?,Прикладной информатики,,,,,,
26,th3q3,"fun:c_answer(s_3, th3q4, f_t, HSE Trave)",th3q4,"Крупнейшее СО, основанная в МИЭМ?",HSE Trave,,,,,,
27,th3q4,"fun:c_answer(s_3, th3q5, f_t, Ролича А.Ю. (Лаборатория 3D-визуализации и компьютерной графики))",th3q5,Какая лаборатория делала виртуальную 3Д - экскурсию по Дому Дурасовых?,Ролича А.Ю. (Лаборатория 3D-визуализации и компьютерной графики),,,,,,
28,th3q5,"fun:c_answer(s_3, th3q6, f_t, Кашу)",th3q6,Что в МИЭМ можно получить утром бесплатно?,Кашу; Кофе; Пирожок,,,,,,
29,th3q6,"fun:c_answer(s_3, th3q7, f_t, 185 рублей)",th3q7,Стоимость комплексного обеда?,150 рублей; 185 рублей; 200 рублей; 100 рублей,,,,,,
30,th3q7,"fun:c_answer(s_3, th3q8, f_t, Евгению Викториновичу Арменскому)",th3q8,"В 2017 году в МИЭМ появилась именная аудитория, посвященная основателю и первому ректору МИЭМ. Кому?",Евгению Викториновичу Арменскому,,,,,,
31,th3q8,"fun:c_answer(s_3, th3q9, f_t, Movement)",th3q9,"СО из МИЭМ, организующая тематические мероприятия?",Movement,,,,,,
32,th3q9,"fun:c_answer(s_3, th3q10, f_t, Экскурсии по дому Дурасовых)",th3q10,Какое важное мероприятие СО HSE Travel организовало при поддержке администрации ВШЭ в сентябре 2022 года?,Прогулка по корпусам ВШЭ; Поездка в СПб; Экскурсии по дому Дурасовых; Поездка В Подольск; ,,,,,,
33,th3q10,"fun:c_answer(s_3, continues, f_t, Проект)",continues,Обязательная дисциплина с 2018 года?,Курсовая; Проект; Русский язык,,,,,,
34,continues,ifanswer,choice_theme:да; finish:нет,Отлично! Вы прошли квест!\n\nХотите повторить и попробовать другую тему?,да; нет,,,,,,
35,finish,,,Спасибо за игру!,,,,,,,
36,,,,,,,,,,,
37,f_t,skip,choice_theme,Выберите следущую тему,,,,,,,
